,phrase,label,sentiment,subjectivity,language,count
Panzer-Lieferungen,Panzer-Lieferungen,MISC,0.0,0.0,de,6
Kabinett,Kabinett,MISC,,,de,6
Russisches Schiff,Russisches Schiff,MISC,,,de,6
Krieges gegen die Ukraine,Krieges gegen die Ukraine,MISC,,,de,6
Energiewirtschaftsgesetz,Energiewirtschaftsgesetz,MISC,,,de,6
Militärgerät,Militärgerät,MISC,,,de,6
Fußball-WM in,Fußball-WM in,MISC,,,de,6
Jahr 2022,Jahr 2022,MISC,,,de,6
Neujahr,Neujahr,MISC,,,de,6
Windows 11,Windows 11,MISC,,,de,6
De'Longhi,De'Longhi,MISC,,,de,6
indische,indische,MISC,,,de,6
südafrikanischen,südafrikanischen,MISC,,,de,6
Die Zeit,Die Zeit,MISC,,,de,6
Die Nacht im Überblick,Die Nacht im Überblick,MISC,,,de,6
Nato-Mitgliedschaft,Nato-Mitgliedschaft,MISC,,,de,6
Wort des Jahres,Wort des Jahres,MISC,,,de,6
Ukrainischen,Ukrainischen,MISC,,,de,6
ukrainischen Armee,ukrainischen Armee,MISC,,,de,6
Jahrzehnts,Jahrzehnts,MISC,,,de,6
nächsten Winter,nächsten Winter,MISC,,,de,6
Das Jahr 2022,Das Jahr 2022,MISC,,,de,6
Schwedens Nato-Beitritt,Schwedens Nato-Beitritt,MISC,,,de,6
Hamburger Untersuchungsausschuss,Hamburger Untersuchungsausschuss,MISC,,,de,6
Das Jahr 2023,Das Jahr 2023,MISC,,,de,6
Der Mann,Der Mann,MISC,,,de,6
Morgenüberblick When browsing with ads,Morgenüberblick When browsing with ads,MISC,,,de,6
Unabhängigkeitstag,Unabhängigkeitstag,MISC,,,de,6
Google Home,Google Home,MISC,,,de,6
Münchener,Münchener,MISC,,,de,6
SPIEGEL-Informationen,SPIEGEL-Informationen,MISC,,,de,6
niederländisches,niederländisches,MISC,,,de,6
Terminkontrakt TTF,Terminkontrakt TTF,MISC,,,de,6
russische Angriffskrieg auf die Ukraine,russische Angriffskrieg auf die Ukraine,MISC,,,de,6
SPÖ-Chefin,SPÖ-Chefin,MISC,,,de,6
Ukraine</li><li,Ukraine</li><li,MISC,0.0,0.0,de,6
belgischen,belgischen,MISC,,,de,6
Gas-Krise,Gas-Krise,MISC,,,en,6
Nato-Mitglied,Nato-Mitglied,MISC,,,de,6
Ölembargo,Ölembargo,MISC,3.4000000000000004,0.0,de,6
C,C,MISC,,,de,6
Pleitewelle,Pleitewelle,MISC,0.0,0.0,de,6
russischen Invasion in die Ukraine,russischen Invasion in die Ukraine,MISC,,,de,6
Industriestrompreis,Industriestrompreis,MISC,-1.0,1.0,de,6
French Open,French Open,MISC,,,de,6
Weltkrieg,Weltkrieg,MISC,,,de,6
rumänischen,rumänischen,MISC,,,de,6
Wiederholt,Wiederholt,MISC,,,de,6
Joh,Joh,MISC,,,de,6
SZ am Morgen,SZ am Morgen,MISC,,,de,6
Personalmangel,Personalmangel,MISC,,,de,6
italienischen,italienischen,MISC,,,de,6
Mo,Mo,MISC,0.4666666666666666,0.0,de,6
Friedensnobelpreises,Friedensnobelpreises,MISC,,,de,6
hessischen,hessischen,MISC,,,de,6
Ein Jahr Krieg,Ein Jahr Krieg,MISC,,,de,6
Kriegseintritt,Kriegseintritt,MISC,,,de,6
Fußballweltmeisterschaft,Fußballweltmeisterschaft,MISC,,,de,6
Handball-WM,Handball-WM,MISC,,,de,6
Ministerpräsidenten-Konferenz,Ministerpräsidenten-Konferenz,MISC,,,de,6
Spiele,Spiele,MISC,,,de,6
Audible,Audible,MISC,,,de,5
FOCUS-online-Redakteurin,FOCUS-online-Redakteurin,MISC,,,de,5
INTERVIEW,INTERVIEW,MISC,,,de,5
AKW-Aus,AKW-Aus,MISC,,,de,5
Bundestagswahl,Bundestagswahl,MISC,,,de,5
belgische,belgische,MISC,,,de,5
Argentinien,Argentinien,MISC,-0.019230769230769232,0.0,de,5
Russischen,Russischen,MISC,,,de,5
Männer-WM,Männer-WM,MISC,,,de,5
russischen Angriffs auf die Ukraine,russischen Angriffs auf die Ukraine,MISC,,,de,5
SERIE,SERIE,MISC,1.0,0.0,de,5
nordrhein-westfälische,nordrhein-westfälische,MISC,,,de,5
Die Vorgeschichte zum Krieg,Die Vorgeschichte zum Krieg,MISC,,,de,5
NATO-Waffen,NATO-Waffen,MISC,,,de,5
Russisch,Russisch,MISC,,,de,5
Angriff von Überwasserdrohne,Angriff von Überwasserdrohne,MISC,,,de,5
Tablet,Tablet,MISC,,,de,5
Die Ampel-Koalition,Die Ampel-Koalition,MISC,,,de,5
Katar-WM,Katar-WM,MISC,,,de,5
tschechische,tschechische,MISC,,,de,5
Jedes Jahr,Jedes Jahr,MISC,,,de,5
Litauen,Litauen,MISC,0.0,0.01639344262295082,de,5
Niederlage,Niederlage,MISC,,,de,5
Bundeswehr-Bestä,Bundeswehr-Bestä,MISC,,,de,5
Reservistenverbandes,Reservistenverbandes,MISC,,,de,5
Me,Me,MISC,0.19999999999999996,0.0,de,5
G7-Sicherheitspakts,G7-Sicherheitspakts,MISC,,,de,5
spanischen,spanischen,MISC,,,de,5
Stromsparen,Stromsparen,MISC,,,de,5
sowjetische,sowjetische,MISC,,,de,5
russische Krieg,russische Krieg,MISC,,,de,5
mittelfränkischen,mittelfränkischen,MISC,,,de,5
Russische Invasion: Ukraine,Russische Invasion: Ukraine,MISC,,,de,5
Die hartnäckig hohe Inflation,Die hartnäckig hohe Inflation,MISC,,,de,5
Fußball-Weltmeisterschaft in,Fußball-Weltmeisterschaft in,MISC,,,de,5
Ukrainekrieges,Ukrainekrieges,MISC,,,de,5
Heizgesetz,Heizgesetz,MISC,0.0,0.0,de,5
Wende,Wende,MISC,,,de,5
Doppel-Wumms,Doppel-Wumms,MISC,,,de,5
LNG-Terminal,LNG-Terminal,MISC,-0.11428571428571428,0.0,de,5
AFP,AFP,MISC,,,de,5
Puma,Puma,MISC,,,de,5
Abkommen zur Ausfuhr von Getreide,Abkommen zur Ausfuhr von Getreide,MISC,,,de,5
Krieg nach Europa,Krieg nach Europa,MISC,,,de,5
Im Jahr 2022,Im Jahr 2022,MISC,,,de,5
Kriegen,Kriegen,MISC,,,de,5
SZ am Abend,SZ am Abend,MISC,,,de,5
Doppeldecker-Busse,Doppeldecker-Busse,MISC,,,de,5
letzten Jahr,letzten Jahr,MISC,,,de,5
ZTE-,ZTE-,MISC,,,de,5
tschetschenischen,tschetschenischen,MISC,,,de,5
ZEIT,ZEIT,MISC,,,de,5
Abkommen zur Verschiffung von ukrainischem Getreide,Abkommen zur Verschiffung von ukrainischem Getreide,MISC,,,de,5
Smart Home,Smart Home,MISC,,,de,5
iPhone,iPhone,MISC,,,de,5
amerikanischer,amerikanischer,MISC,,,de,5
In der Nacht,In der Nacht,MISC,,,de,5
Gestern,Gestern,MISC,,,de,5
vier Jahre,vier Jahre,MISC,,,de,5
Weihnachtsfeiertag,Weihnachtsfeiertag,MISC,,,de,5
